АЛФАВИТ,номер,двоичка,наоборот,морзе,наоборот,мтк2,наоборот
А,1,00001,11110,10,01,11000,00111
Б,2,00010,11101,0111,1000,10011,01100
В,3,00011,11100,100,011,11001,00110
Г,4,00100,11011,001,110,01011,10100
Д,5,00101,11010,011,100,10010,01101
Е,6,00110,11001,1,0,10000,01111
Ё,7,00111,11000,1,0,10000,01111
Ж,8,01000,10111,1110,0001,01111,10000
З,9,01001,10110,0011,1100,10001,01110
И,10,01010,10101,11,00,01100,10011
Й,11,01011,10100,1000,0111,11010,00101
К,12,01100,10011,010,101,11110,00001
Л,13,01101,10010,1011,0100,01001,10110
М,14,01110,10001,00,11,00111,11000
Н,15,01111,10000,01,10,00110,11001
О,16,10000,01111,000,111,00011,11100
П,17,10001,01110,1001,0110,01101,10010
Р,18,10010,01101,101,010,01010,10101
С,19,10011,01100,111,000,10100,01011
Т,20,10100,01011,0,1,00001,11110
У,21,10101,01010,110,001,11100,00011
Ф,22,10110,01001,1101,0010,10110,01001
Х,23,10111,01000,1111,0000,00101,11010
Ц,24,11000,00111,0101,1010,01110,10001
Ч,25,11001,00110,0001,1110,01010,10101
Ш,26,11010,00101,0000,1111,01011,10100
Щ,27,11011,00100,0010,1101,00101,11010
Ъ,28,11100,00011,00100,11011,,
Ы,29,11101,00010,0100,1011,10101,01010
Ь,30,11110,00001,0110,1001,10111,01000
Э,31,11111,00000,11011,00100,10110,01001
Ю,32,,,1100,0011,11010,00101
Я,33,,,1010,0101,11101,00010