номер,имя,назв
1,Водород,H
2,Гелий,He
3,Литий,Li
4,Бериллий,Be
5,Бор,B
6,Углерод,C
7,Азот,N
8,Кислород,O
9,Фтор,F
10,Неон,Ne
11,Натрий,Na
12,Магний,Mg
13,Алюминий,Al
14,Кремний,Si
15,Фосфор,P
16,Сера,S
17,Хлор,Cl
18,Аргон,Ar
19,Калий,K
20,Кальций,Ca
21,Скандий,Sc
22,Титан,Ti
23,Ванадий,V
24,Хром,Cr
25,Марганец,Mn
26,Железо,Fe
27,Кобальт,Co
28,Никель,Ni
29,Медь,Cu
30,Цинк,Zn
31,Галлий,Ga
32,Германий,Ge
33,Мышьяк,As
34,Селен,Se
35,Бром,Br
36,Криптон,Kr
37,Рубидий,Rb
38,Стронций,Sr
39,Иттрий,Y
40,Цирконий,Zr
41,Ниобий,Nb
42,Молибден,Mo
43,Технеций,Tc
44,Рутений,Ru
45,Родий,Rh
46,Палладий,Pd
47,Серебро,Ag
48,Кадмий,Cd
49,Индий,In
50,Олово,Sn
51,Сурьма,Sb
52,Теллур,Te
53,Иод,I
54,Ксенон,Xe
55,Цезий,Cs
56,Барий,Ba
57,Лантан,La
58,Церий,Ce
59,Празеодим,Pr
60,Неодим,Nd
61,Прометий,Pm
62,Самарий,Sm
63,Европий,Eu
64,Гадолиний,Gd
65,Тербий,Tb
66,Диспрозий,Dy
67,Гольмий,Ho
68,Эрбий,Er
69,Тулий,Tm
70,Иттербий,Yb
71,Лютеций,Lu
72,Гафний,Hf
73,Тантал,Ta
74,Вольфрам,W
75,Рений,Re
76,Осмий,Os
77,Иридий,Ir
78,Платина,Pt
79,Золото,Au
80,Ртуть,Hg
81,Таллий,Tl
82,Свинец,Pb
83,Висмут,Bi
84,Полоний,Po
85,Астат,At
86,Радон,Rn
87,Франций,Fr
88,Радий,Ra
89,Актиний,Ac
90,Торий,Th
91,Протактиний,Pa
92,Уран,U
93,Нептуний,Np
94,Плутоний,Pu
95,Америций,Am
96,Кюрий,Cm
97,Берклий,Bk
98,Калифорний,Cf
99,Эйнштейний,Es
100,Фермий,Fm
101,Менделевий,Md
102,Нобелий,No
103,Лоуренсий,Lr
104,Резерфордий,Rf
105,Дубний,Db
106,Сиборгий,Sg
107,Борий,Bh
108,Хассий,Hs
109,Мейтнерий,Mt
110,Дармштадтий,Ds
111,Рентгений,Rg
112,Коперниций,Cn
113,Унунтрий,Uut
114,Флеровий,Fl
115,Унунпентий,Uup
116,Ливерморий,Lv
117,Унунсептий,Uus
118,Унуноктий,Uuo